k,queries_evaluated,hit,precision,recall,mrr,map,ndcg
1,632,0.9683544303797469,0.9683544303797469,0.3227848101265823,0.9683544303797469,0.3227848101265823,0.9683544303797469
3,632,0.9920886075949367,0.9715189873417721,0.9715189873417721,0.9773206751054851,0.9658931082981717,0.9709708961548831
5,632,1.0,0.5930379746835442,0.9883966244725738,0.9792194092827005,0.9753604078762306,0.9810089369210832
10,632,1.0,0.29683544303797466,0.989451476793249,0.9792194092827005,0.9757748141450673,0.9815209411884467
